left_x,left_y,right_x,right_y,u,v,exx,eyy,exy,zncc
14.000000,14.000000,14.969991,15.932987,0.969991,1.932988,0.050873,-0.021035,0.018407,0.012101
17.000000,14.000000,17.964458,15.878460,0.964459,1.878460,0.009017,-0.014279,0.017705,0.009466
20.000000,14.000000,20.971870,15.819173,0.971871,1.819173,0.001923,-0.009053,0.014882,0.008947
23.000000,14.000000,23.987812,15.746511,0.987811,1.746512,-0.000144,-0.003506,0.011269,0.008155
26.000000,14.000000,26.966776,15.660405,0.966776,1.660406,-0.000295,0.000269,0.013259,0.008088
29.000000,14.000000,29.960388,15.606055,0.960388,1.606055,-0.000239,-0.002984,0.013981,0.008880
32.000000,14.000000,32.984657,15.544483,0.984658,1.544483,-0.001157,-0.005878,0.010250,0.009509
35.000000,14.000000,35.972065,15.457285,0.972063,1.457285,-0.001720,-0.004551,0.009767,0.010645
38.000000,14.000000,38.958988,15.381602,0.958990,1.381602,-0.001090,-0.006045,0.009344,0.011041
41.000000,14.000000,41.972988,15.281005,0.972989,1.281005,-0.001329,-0.004268,0.006250,0.010991
44.000000,14.000000,44.970165,15.176112,0.970166,1.176112,-0.002560,-0.002995,0.005187,0.010878
47.000000,14.000000,47.955757,15.075524,0.955759,1.075524,-0.002490,-0.003530,0.004816,0.010763
50.000000,14.000000,50.950706,14.959862,0.950706,0.959861,-0.002471,-0.002084,0.003483,0.010829
53.000000,14.000000,53.931789,14.839363,0.931790,0.839363,-0.002803,-0.000417,0.004431,0.010596
56.000000,14.000000,56.917427,14.729446,0.917428,0.729447,-0.003014,-0.001555,0.005311,0.011393
59.000000,14.000000,59.916576,14.620702,0.916575,0.620702,-0.002741,-0.003528,0.004255,0.011325
62.000000,14.000000,62.889339,14.503657,0.889340,0.503657,-0.002946,-0.004357,0.005557,0.011482
65.000000,14.000000,65.872139,14.383510,0.872140,0.383510,-0.001010,-0.004636,0.006368,0.010395
68.000000,14.000000,68.903076,14.245959,0.903073,0.245960,0.000040,-0.001256,0.003006,0.009935
71.000000,14.000000,71.885796,14.128480,0.885795,0.128480,-0.001606,-0.002625,0.004097,0.009831
74.000000,14.000000,74.882645,13.987511,0.882645,-0.012490,-0.003360,0.000713,0.003852,0.009164
77.000000,14.000000,77.867912,13.887728,0.867914,-0.112273,-0.003927,-0.003760,0.004788,0.009126
80.000000,14.000000,80.864258,13.756881,0.864261,-0.243119,-0.003413,-0.002300,0.004093,0.008403
83.000000,14.000000,83.842262,13.639088,0.842266,-0.360913,-0.003461,-0.003466,0.005150,0.007824
86.000000,14.000000,86.839088,13.520193,0.839092,-0.479807,-0.002094,-0.004001,0.004076,0.007543
89.000000,14.000000,89.846947,13.386718,0.846947,-0.613282,-0.002093,-0.001701,0.003066,0.007171
92.000000,14.000000,92.835411,13.266540,0.835412,-0.733461,-0.003425,-0.001414,0.004551,0.007537
95.000000,14.000000,95.813522,13.159900,0.813519,-0.840100,-0.002439,-0.002970,0.007187,0.007419
98.000000,14.000000,98.805786,13.055042,0.805784,-0.944958,-0.000937,-0.004719,0.007412,0.007193
101.000000,14.000000,101.800041,12.923492,0.800043,-1.076507,-0.000383,0.000218,0.008181,0.007737
104.000000,14.000000,104.813118,12.842749,0.813116,-1.157251,-0.000712,-0.003487,0.007569,0.007840
107.000000,14.000000,107.815964,12.720847,0.815967,-1.279153,-0.001727,0.001184,0.007461,0.006838
110.000000,14.000000,110.810287,12.627945,0.810288,-1.372055,-0.003841,0.000845,0.008464,0.007247
113.000000,14.000000,113.780960,12.550781,0.780963,-1.449219,-0.004920,-0.000943,0.010873,0.007409
116.000000,14.000000,116.757812,12.462271,0.757813,-1.537730,-0.003872,0.000220,0.013346,0.007278
119.000000,14.000000,119.746361,12.396487,0.746363,-1.603513,-0.003176,-0.001481,0.014960,0.007234
122.000000,14.000000,122.739815,12.313783,0.739811,-1.686217,-0.002914,0.001289,0.015460,0.006909
125.000000,14.000000,125.710030,12.247694,0.710031,-1.752306,-0.000493,0.001894,0.019060,0.006589
128.000000,14.000000,128.749100,12.185822,0.749097,-1.814178,0.000848,0.003203,0.016504,0.006626
131.000000,14.000000,131.745529,12.143996,0.745527,-1.856004,-0.000276,0.001773,0.017642,0.006560
134.000000,14.000000,134.735397,12.100438,0.735393,-1.899562,-0.001283,0.001641,0.019180,0.006426
137.000000,14.000000,137.726669,12.064818,0.726664,-1.935182,-0.001760,0.001701,0.021160,0.006578
140.000000,14.000000,140.714188,12.041847,0.714193,-1.958153,0.000393,0.000870,0.023828,0.008892
143.000000,14.000000,143.738602,12.018026,0.738608,-1.981973,0.001495,0.001702,0.023653,0.010243
146.000000,14.000000,146.736603,12.017046,0.736597,-1.982954,0.000736,-0.000175,0.025273,0.011181
149.000000,14.000000,149.730865,12.000833,0.730873,-1.999168,0.000617,0.002687,0.026711,0.011075
152.000000,14.000000,152.734131,12.010974,0.734128,-1.989026,0.000261,0.001939,0.027856,0.011152
