left_x,left_y,right_x,right_y,u,v,exx,eyy,exy,zncc
12.000000,12.000000,13.339076,13.816653,1.339076,1.816653,NaN,NaN,NaN,0.009023
15.000000,12.000000,16.353138,13.718698,1.353137,1.718698,NaN,NaN,NaN,0.009331
18.000000,12.000000,19.308548,13.647550,1.308549,1.647549,NaN,NaN,NaN,0.012906
21.000000,12.000000,22.246902,13.558294,1.246903,1.558295,NaN,NaN,NaN,0.008584
24.000000,12.000000,25.193514,13.461407,1.193514,1.461407,NaN,NaN,NaN,0.008830
27.000000,12.000000,28.228315,13.285638,1.228315,1.285637,NaN,NaN,NaN,0.009197
30.000000,12.000000,31.211994,13.082664,1.211994,1.082664,NaN,NaN,NaN,0.008651
33.000000,12.000000,34.190948,12.875273,1.190947,0.875273,NaN,NaN,NaN,0.007351
36.000000,12.000000,37.185459,12.677116,1.185460,0.677117,NaN,NaN,NaN,0.006141
39.000000,12.000000,40.145103,12.639505,1.145102,0.639505,NaN,NaN,NaN,0.005554
42.000000,12.000000,43.148178,12.356326,1.148176,0.356326,NaN,NaN,NaN,0.006358
45.000000,12.000000,46.116573,12.204632,1.116572,0.204632,NaN,NaN,NaN,0.006870
48.000000,12.000000,49.059536,11.992393,1.059534,-0.007607,NaN,NaN,NaN,0.008226
51.000000,12.000000,52.080391,11.845608,1.080389,-0.154392,NaN,NaN,NaN,0.009557
54.000000,12.000000,55.086311,11.681454,1.086311,-0.318547,NaN,NaN,NaN,0.009406
57.000000,12.000000,58.127090,11.573374,1.127091,-0.426627,NaN,NaN,NaN,0.009748
60.000000,12.000000,61.052437,11.303420,1.052436,-0.696580,NaN,NaN,NaN,0.009522
63.000000,12.000000,64.065254,11.119732,1.065254,-0.880268,NaN,NaN,NaN,0.010077
66.000000,12.000000,67.014496,10.946115,1.014496,-1.053885,NaN,NaN,NaN,0.009097
69.000000,12.000000,70.026886,10.797809,1.026889,-1.202191,NaN,NaN,NaN,0.006888
72.000000,12.000000,73.021805,10.692272,1.021808,-1.307728,NaN,NaN,NaN,0.005819
75.000000,12.000000,76.025627,10.561404,1.025626,-1.438596,NaN,NaN,NaN,0.005949
78.000000,12.000000,78.963730,10.407368,0.963728,-1.592632,NaN,NaN,NaN,0.006552
81.000000,12.000000,81.934326,10.287320,0.934323,-1.712680,NaN,NaN,NaN,0.007046
84.000000,12.000000,84.966248,10.221425,0.966250,-1.778575,NaN,NaN,NaN,0.005476
87.000000,12.000000,88.010063,10.146868,1.010064,-1.853132,NaN,NaN,NaN,0.005441
90.000000,12.000000,90.989174,10.121286,0.989175,-1.878714,NaN,NaN,NaN,0.006233
93.000000,12.000000,94.023857,10.099133,1.023854,-1.900867,NaN,NaN,NaN,0.006418
96.000000,12.000000,96.952583,10.024054,0.952585,-1.975946,NaN,NaN,NaN,0.006871
99.000000,12.000000,99.930717,10.012548,0.930720,-1.987452,NaN,NaN,NaN,0.006031
102.000000,12.000000,102.937225,10.004024,0.937223,-1.995976,NaN,NaN,NaN,0.005861
105.000000,12.000000,105.908302,10.044007,0.908306,-1.955993,NaN,NaN,NaN,0.007359
108.000000,12.000000,108.894745,10.084263,0.894745,-1.915738,NaN,NaN,NaN,0.007526
111.000000,12.000000,111.955803,10.177017,0.955801,-1.822983,NaN,NaN,NaN,0.006252
114.000000,12.000000,114.938362,10.251472,0.938364,-1.748529,NaN,NaN,NaN,0.006719
117.000000,12.000000,117.953896,10.351900,0.953896,-1.648100,NaN,NaN,NaN,0.008337
120.000000,12.000000,120.993179,10.437803,0.993176,-1.562196,NaN,NaN,NaN,0.007667
123.000000,12.000000,123.973930,10.543063,0.973929,-1.456937,NaN,NaN,NaN,0.007678
126.000000,12.000000,127.007385,10.668981,1.007386,-1.331020,NaN,NaN,NaN,0.007420
129.000000,12.000000,129.973953,10.801712,0.973955,-1.198288,NaN,NaN,NaN,0.007788
132.000000,12.000000,132.999512,10.957895,0.999504,-1.042105,NaN,NaN,NaN,0.008377
135.000000,12.000000,135.976974,11.187410,0.976972,-0.812590,NaN,NaN,NaN,0.008453
138.000000,12.000000,139.011185,11.331571,1.011185,-0.668429,NaN,NaN,NaN,0.007320
141.000000,12.000000,142.046707,11.497125,1.046710,-0.502876,NaN,NaN,NaN,0.007629
144.000000,12.000000,145.129395,11.654188,1.129402,-0.345811,NaN,NaN,NaN,0.007883
147.000000,12.000000,148.179138,11.770207,1.179137,-0.229792,NaN,NaN,NaN,0.007833
150.000000,12.000000,151.236282,12.110009,1.236275,0.110009,NaN,NaN,NaN,0.007164
153.000000,12.000000,154.103119,12.387851,1.103118,0.387851,NaN,NaN,NaN,0.010192
156.000000,12.000000,157.530075,12.562090,1.530071,0.562090,NaN,NaN,NaN,0.010197
159.000000,12.000000,160.300766,12.819284,1.300772,0.819284,NaN,NaN,NaN,0.007437
162.000000,12.000000,163.103882,12.894630,1.103883,0.894630,NaN,NaN,NaN,0.007792
165.000000,12.000000,166.149582,12.923425,1.149583,0.923425,NaN,NaN,NaN,0.009972
168.000000,12.000000,169.176300,13.116679,1.176293,1.116679,NaN,NaN,NaN,0.009335
171.000000,12.000000,172.242126,13.228718,1.242124,1.228717,NaN,NaN,NaN,0.008657
174.000000,12.000000,175.252029,13.351552,1.252030,1.351552,NaN,NaN,NaN,0.010227
177.000000,12.000000,178.202408,13.615414,1.202407,1.615413,NaN,NaN,NaN,0.011851
180.000000,12.000000,181.179825,13.595869,1.179821,1.595869,NaN,NaN,NaN,0.013386
183.000000,12.000000,184.254044,13.727037,1.254044,1.727037,NaN,NaN,NaN,0.013733
186.000000,12.000000,187.295746,13.860051,1.295751,1.860051,NaN,NaN,NaN,0.007475
12.000000,15.000000,13.529168,16.787420,1.529168,1.787420,NaN,NaN,NaN,0.008975
15.000000,15.000000,16.585196,16.682581,1.585196,1.682581,NaN,NaN,NaN,0.010864
18.000000,15.000000,19.618746,16.611811,1.618746,1.611810,NaN,NaN,NaN,0.014273
21.000000,15.000000,22.529490,16.539690,1.529489,1.539691,NaN,NaN,NaN,0.010146
24.000000,15.000000,25.460163,16.457867,1.460162,1.457866,NaN,NaN,NaN,0.010643
27.000000,15.000000,28.467604,16.288506,1.467603,1.288506,NaN,NaN,NaN,0.010912
30.000000,15.000000,31.431231,16.067987,1.431231,1.067987,NaN,NaN,NaN,0.009327
33.000000,15.000000,34.442730,15.899264,1.442728,0.899264,NaN,NaN,NaN,0.008324
36.000000,15.000000,37.453102,15.682678,1.453104,0.682678,NaN,NaN,NaN,0.006754
39.000000,15.000000,40.413921,15.628876,1.413921,0.628876,NaN,NaN,NaN,0.005978
42.000000,15.000000,43.420532,15.382860,1.420532,0.382861,NaN,NaN,NaN,0.006884
45.000000,15.000000,46.409538,15.221077,1.409539,0.221077,NaN,NaN,NaN,0.007257
48.000000,15.000000,49.356823,15.017554,1.356823,0.017554,NaN,NaN,NaN,0.008536
51.000000,15.000000,52.376396,14.857466,1.376394,-0.142534,NaN,NaN,NaN,0.009938
