x,y,u_displacement,v_displacement
14,14,0.969991,1.93299
17,14,0.964459,1.87846
20,14,0.971871,1.81917
23,14,0.987811,1.74651
26,14,0.966776,1.66041
29,14,0.960388,1.60606
32,14,0.984658,1.54448
35,14,0.972063,1.45728
38,14,0.95899,1.3816
41,14,0.972989,1.281
44,14,0.970166,1.17611
47,14,0.955759,1.07552
50,14,0.950706,0.959861
53,14,0.931789,0.839363
56,14,0.917428,0.729447
59,14,0.916575,0.620702
62,14,0.88934,0.503657
65,14,0.87214,0.38351
68,14,0.903073,0.24596
71,14,0.885795,0.12848
74,14,0.882645,-0.0124897
77,14,0.867914,-0.112273
80,14,0.864261,-0.243119
83,14,0.842266,-0.360913
86,14,0.839092,-0.479807
89,14,0.846947,-0.613282
92,14,0.835412,-0.733461
95,14,0.813519,-0.8401
98,14,0.805784,-0.944958
101,14,0.800043,-1.07651
104,14,0.813116,-1.15725
107,14,0.815967,-1.27915
110,14,0.810288,-1.37206
113,14,0.780963,-1.44922
116,14,0.757813,-1.53773
119,14,0.746363,-1.60351
122,14,0.739811,-1.68622
125,14,0.710031,-1.75231
128,14,0.749097,-1.81418
131,14,0.745527,-1.856
134,14,0.735393,-1.89956
137,14,0.726664,-1.93518
140,14,0.714193,-1.95815
143,14,0.738608,-1.98197
146,14,0.736597,-1.98295
149,14,0.730873,-1.99917
152,14,0.734128,-1.98903
155,14,0.738923,-1.98319
158,14,0.740249,-1.96313
161,14,0.733929,-1.93057
164,14,0.743889,-1.8982
167,14,0.742373,-1.87565
170,14,0.749491,-1.81867
173,14,0.746213,-1.7804
176,14,0.760186,-1.69087
179,14,0.755991,-1.62053
182,14,0.769708,-1.55018
185,14,0.767701,-1.46248
188,14,0.765519,-1.37695
191,14,0.777196,-1.29798
194,14,0.795294,-1.17994
197,14,0.804728,-1.09311
200,14,0.790099,-0.981802
203,14,0.819353,-0.844543
206,14,0.811665,-0.736142
209,14,0.821991,-0.62016
212,14,0.848983,-0.489572
215,14,0.847821,-0.368246
218,14,0.860863,-0.24684
221,14,0.856802,-0.116083
224,14,0.864579,-0.0233788
227,14,0.859471,0.111117
230,14,0.868706,0.229543
233,14,0.876529,0.365815
236,14,0.886133,0.485683
239,14,0.904505,0.61808
242,14,0.92897,0.736887
245,14,0.913365,0.852758
248,14,0.938417,0.958026
251,14,0.937458,1.05619
254,14,0.949455,1.17729
257,14,0.94165,1.28139
260,14,0.943769,1.3636
263,14,0.950645,1.463
266,14,0.961688,1.54056
269,14,0.973862,1.62597
272,14,0.980562,1.70349
275,14,0.979372,1.7689
278,14,0.96413,1.81923
281,14,0.991282,1.88694
284,14,0.982307,1.92114
14,17,1.15015,1.91539
17,17,1.15139,1.86191
20,17,1.14966,1.80579
23,17,1.15298,1.73731
26,17,1.14623,1.64954
29,17,1.16196,1.60265
32,17,1.1476,1.52787
35,17,1.14128,1.44744
38,17,1.13369,1.36122
41,17,1.13568,1.26548
44,17,1.12916,1.16671
47,17,1.11153,1.07023
50,17,1.09859,0.961797
53,17,1.10082,0.837146
56,17,1.09769,0.720686
59,17,1.08215,0.612933
62,17,1.08182,0.487793
65,17,1.05702,0.357349
68,17,1.07227,0.231091
